width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
5000,mlp,20260913,Plasma,2173,40,2012,1988,42,66
5000,mlp,20260913,Tcm,2121,36,31,44,29,16
5000,mlp,20260913,cDC2,7376,40,6526,6591,305,240
5000,mlp,20260913,pDC,2615,40,2246,2252,112,106
5000,mlp,20260913,platelet,1574,38,1329,1106,37,260
5000,mlp,20260914,Atypical Memory B,781,34,449,335,21,135
5000,mlp,20260914,CD14 Monocyte-1,29871,40,24830,25519,2113,1424
5000,mlp,20260914,CD14 Monocyte-2,3931,40,2008,2211,724,521
5000,mlp,20260914,CD14 Monocyte-3,2977,32,1877,1843,278,312
5000,mlp,20260914,CD16 Monocyte-1,14678,40,13048,12656,528,920
5000,mlp,20260914,CD16 Monocyte-2,5142,40,3329,3363,404,370
5000,mlp,20260914,CD16 NK,58507,40,40960,42906,5990,4044
5000,mlp,20260914,CD4 + Tcm-1,70653,40,48700,50642,8138,6196
5000,mlp,20260914,CD4 + Tcm-2,16861,39,11051,11032,1277,1296
5000,mlp,20260914,CD4 Monocyte-4,1405,35,915,850,76,141
5000,mlp,20260914,CD56 NK,38442,40,28915,29298,2483,2100
5000,mlp,20260914,CD8 + CTL-1,7303,40,4404,4340,485,549
5000,mlp,20260914,CD8 + CTL-2,4049,33,1342,1433,475,384
5000,mlp,20260914,CD8 + CTL-3,3244,27,712,1300,724,136
5000,mlp,20260914,CD8 Tem-1,26714,40,15582,15160,3403,3825
5000,mlp,20260914,CD8 Tem-2,10548,40,6405,6478,816,743
5000,mlp,20260914,Cycling T,3667,40,2255,2117,160,298
5000,mlp,20260914,Erythrocyte,65,6,5,5,1,1
5000,mlp,20260914,GCB,3283,31,2090,2395,447,142
5000,mlp,20260914,Memory B-1,23722,40,21268,21315,995,948
5000,mlp,20260914,Memory B-2,2130,33,1044,1370,412,86
5000,mlp,20260914,Naive T,17960,40,12490,12657,1241,1074
5000,mlp,20260914,Plasma,2173,40,1992,2006,64,50
5000,mlp,20260914,Tcm,2121,36,39,44,30,25
5000,mlp,20260914,cDC2,7376,40,6514,6479,269,304
5000,mlp,20260914,pDC,2615,40,2256,2255,88,89
5000,mlp,20260914,platelet,1574,38,1358,1280,38,116
