permutation,seed,patient_accuracy,patient_macro_f1
246,42,0.125,0.1275995246583482
247,42,0.325,0.291931460352513
248,42,0.1,0.10227272727272728
249,42,0.225,0.2119949494949495
250,42,0.175,0.16375661375661374
251,42,0.025,0.017543859649122806
252,42,0.075,0.07777777777777778
253,42,0.15,0.1498931623931624
254,42,0.1,0.09114959114959115
255,42,0.15,0.13675213675213677
256,42,0.225,0.21045986177565126
257,42,0.025,0.017543859649122806
258,42,0.1,0.0861111111111111
259,42,0.175,0.15555555555555556
260,42,0.15,0.1367063492063492
261,42,0.2,0.1636363636363636
262,42,0.2,0.20158730158730157
263,42,0.125,0.10988562091503268
264,42,0.2,0.1699346405228758
265,42,0.1,0.0938949938949939
266,42,0.175,0.18803418803418803
267,42,0.1,0.09091880341880343
268,42,0.05,0.046969696969696974
269,42,0.3,0.2669807044807045
270,42,0.25,0.23892120950944476
271,42,0.1,0.08472222222222221
272,42,0.2,0.19127492877492877
273,42,0.05,0.047619047619047616
274,42,0.25,0.2239991003148898
275,42,0.125,0.12222222222222223
276,42,0.15,0.12881562881562883
277,42,0.075,0.06825396825396825
278,42,0.125,0.12222222222222222
279,42,0.2,0.1855024060906414
280,42,0.15,0.14239926739926742
281,42,0.275,0.25898078529657476
282,42,0.15,0.1625
283,42,0.125,0.10294117647058824
284,42,0.025,0.022222222222222223
285,42,0.05,0.05555555555555555
286,42,0.075,0.05555555555555555
287,42,0.125,0.10185185185185186
288,42,0.2,0.1672440906187036
289,42,0.1,0.08814102564102565
290,42,0.2,0.19552669552669552
291,42,0.075,0.08585858585858586
292,42,0.05,0.04524886877828055
293,42,0.1,0.09577922077922078
294,42,0.225,0.19215686274509805
295,42,0.1,0.10087719298245612
296,42,0.15,0.14574898785425103
297,42,0.1,0.11005661005661005
298,42,0.15,0.10793650793650793
299,42,0.075,0.07222222222222223
300,42,0.175,0.16869658119658118
301,42,0.125,0.10834779255831888
302,42,0.125,0.1344155844155844
303,42,0.075,0.08928571428571429
304,42,0.15,0.14192532613585243
305,42,0.175,0.1553030303030303
306,42,0.225,0.21253746253746256
307,42,0.175,0.15897435897435896
308,42,0.125,0.13005050505050506
309,42,0.1,0.10317460317460318
310,42,0.125,0.13809523809523808
311,42,0.175,0.14882154882154883
312,42,0.075,0.06084656084656084
313,42,0.075,0.06388888888888888
314,42,0.125,0.11517094017094016
315,42,0.1,0.09230769230769231
316,42,0.25,0.24810606060606064
317,42,0.1,0.07142857142857142
318,42,0.025,0.027777777777777776
319,42,0.15,0.13464775964775966
320,42,0.25,0.23757122507122508
321,42,0.15,0.12132352941176472
322,42,0.125,0.11518865121806299
323,42,0.15,0.13724747474747476
324,42,0.325,0.317485754985755
325,42,0.2,0.19795482295482295
326,42,0.15,0.12788192199956905
327,42,0.125,0.13097643097643097
328,42,0.175,0.18164983164983162
329,42,0.175,0.15887445887445886
330,42,0.1,0.09166666666666666
331,42,0.125,0.1235042735042735
332,42,0.25,0.25456349206349205
333,42,0.125,0.13425925925925927
334,42,0.175,0.15180462239285766
335,42,0.1,0.10422322775263952
336,42,0.05,0.0499108734402852
337,42,0.225,0.2026981732864086
338,42,0.075,0.08143939393939394
339,42,0.3,0.278998778998779
340,42,0.075,0.059523809523809514
341,42,0.2,0.18044871794871795
342,42,0.2,0.1707390648567119
343,42,0.2,0.1766788766788767
344,42,0.05,0.043184885290148446
345,42,0.2,0.19764059469941822
346,42,0.15,0.14027777777777775
347,42,0.15,0.13576007326007325
348,42,0.275,0.2324074074074074
349,42,0.025,0.025641025641025644
350,42,0.1,0.10185185185185185
351,42,0.125,0.11925111925111925
352,42,0.15,0.14017094017094017
353,42,0.15,0.13174603174603172
354,42,0.175,0.17729151939678256
355,42,0.2,0.18275635613096916
356,42,0.25,0.24452075702075704
357,42,0.125,0.13386613386613386
358,42,0.125,0.11388888888888887
359,42,0.15,0.12383107088989442
360,42,0.05,0.037037037037037035
361,42,0.125,0.11485671191553544
362,42,0.05,0.05555555555555555
363,42,0.2,0.20796763149704325
364,42,0.125,0.10833333333333334
365,42,0.05,0.031746031746031744
366,42,0.1,0.0849002849002849
367,42,0.175,0.15396825396825398
368,42,0.175,0.14740376582481843
369,42,0.15,0.1289089994972348
370,42,0.275,0.27519841269841266
371,42,0.025,0.027777777777777776
372,42,0.05,0.0392156862745098
373,42,0.1,0.10176272529213708
374,42,0.075,0.06547619047619048
375,42,0.225,0.22115384615384617
376,42,0.2,0.18926103136629455
377,42,0.1,0.09433760683760684
378,42,0.125,0.1126984126984127
379,42,0.125,0.09788359788359786
